"volatile.acidity","chlorides","total.sulfur.dioxide","sulphates","alcohol","quality"
0.49,0.062,31,0.64,9.6,5
0.39,0.107,125,1.22,9.5,5
0.62,0.076,24,0.53,9,5
0.52,0.079,140,0.54,9.5,5
0.49,0.11,136,1.95,9.9,6
0.49,0.11,133,1.98,9.8,5
0.49,0.062,31,0.64,9.6,5
1.02,0.045,85,0.48,10.5,4
0.6,0.058,106,0.6,12.9,6
0.775,0.102,23,0.56,10.7,5
0.5,0.07,22,0.63,9.2,5
0.9,0.079,10,0.56,9.8,5
0.545,0.08,35,0.59,9,6
0.61,0.084,50,0.61,10.2,6
0.5,0.075,22,0.56,10.4,6
0.545,0.08,35,0.59,9,6
0.575,0.077,65,0.51,9.2,5
0.49,0.07,36,0.48,9.4,5
0.575,0.077,65,0.51,9.2,5
0.41,0.467,69,1.31,9.3,5
0.63,0.088,64,0.79,9.3,5
0.33,0.091,80,0.8,9.6,6
0.785,0.122,153,0.69,9.3,5
0.56,0.104,47,0.93,9.5,5
0.62,0.084,108,0.66,9.8,5
0.6,0.085,111,0.66,9.8,5
0.31,0.08,46,0.67,9.7,6
0.56,0.104,47,0.93,9.5,5
0.4,0.09,62,0.63,10.5,6
0.54,0.077,40,0.61,10,6
0.56,0.082,28,0.5,9.4,6
0.55,0.119,56,0.6,10.9,6
0.69,0.097,89,0.54,9.2,6
1.07,0.178,89,0.57,9,5
0.55,0.119,56,0.6,10.9,6
0.695,0.075,13,0.52,9.2,5
0.71,0.08,34,0.53,9.5,5
0.5,0.082,102,0.48,9.5,5
0.62,0.146,90,0.7,9.4,5
1.33,0.081,12,0.49,10.9,5
1.33,0.082,12,0.48,10.9,5
0.59,0.065,16,0.92,10.5,7
0.38,0.072,19,0.57,9.4,5
0.745,0.118,134,0.66,9.4,5
0.5,0.049,99,0.63,13,5
0.5,0.049,99,0.63,13,5
0.5,0.06,26,0.58,9.8,6
1.04,0.084,29,0.55,9.9,6
0.745,0.09,63,0.82,9.6,5
0.715,0.089,52,0.77,9.5,5
0.415,0.081,45,0.64,9.2,5
0.56,0.081,105,0.54,9.5,5
0.56,0.081,108,0.54,9.5,5
0.745,0.09,63,0.82,9.6,5
0.715,0.089,52,0.77,9.5,5
0.34,0.05,63,0.79,14,6
0.39,0.066,20,0.58,9.4,5
0.34,0.05,63,0.79,14,6
0.67,0.117,141,0.62,9.4,5
0.68,0.087,94,0.52,10,5
0.49,0.236,88,0.8,9.3,5
0.49,0.074,30,0.58,10.2,6
0.4,0.089,43,0.61,10.5,6
0.33,0.077,11,0.53,10.3,6
0.52,0.61,69,2,9.4,4
0.6,0.095,99,0.54,10.1,5
0.6,0.095,99,0.54,10.1,5
0.43,0.07,129,0.72,10.5,5
0.43,0.071,128,0.71,10.5,5
0.43,0.07,129,0.72,10.5,5
0.43,0.071,128,0.71,10.5,5
0.68,0.073,22,0.5,9.3,5
0.6,0.079,86,0.57,9.3,6
0.95,0.09,20,0.56,9.6,5
0.68,0.072,20,1.08,9.2,4
0.53,0.076,31,0.56,10,6
0.6,0.07,121,0.49,9.4,5
0.59,0.07,121,0.49,9.4,5
0.63,0.1,96,0.62,9.5,5
0.64,0.085,101,0.52,10.2,5
0.55,0.072,42,0.48,9,4
0.63,0.089,44,0.55,10.4,6
0.705,0.36,63,1.59,9.5,5
0.885,0.058,8,0.33,9.1,4
0.42,0.073,18,0.61,9.2,6
0.42,0.073,18,0.61,9.2,6
0.62,0.068,42,0.57,11.5,6
0.38,0.08,35,0.47,9.5,5
0.5,0.085,49,0.78,9.5,5
0.38,0.08,35,0.47,9.5,5
0.52,0.087,38,0.61,10.5,6
0.805,0.068,20,0.56,9.6,5
0.61,0.067,42,0.59,9.5,5
0.61,0.067,42,0.59,9.5,5
0.61,0.27,110,1.02,9.3,5
0.73,0.076,42,0.52,9.3,5
0.61,0.077,65,0.58,9.3,5
0.62,0.079,62,0.58,9.3,6
0.31,0.111,85,0.53,9.7,5
0.39,0.082,67,0.55,9.2,5
0.705,0.084,26,0.49,9.7,5
0.5,0.084,143,0.55,9.5,5
0.49,0.082,144,0.55,9.5,5
0.5,0.077,127,0.62,9.4,5
0.37,0.074,49,0.62,9.8,6
0.63,0.099,126,0.61,9.5,5
0.55,0.071,28,0.55,9.7,5
0.55,0.071,28,0.55,9.7,5
0.59,0.074,120,0.54,9.4,5
0.58,0.074,55,0.59,10.2,5
0.3,0.067,27,0.97,10.1,6
0.835,0.046,93,0.85,13,7
1.09,0.061,31,0.43,11.4,4
0.32,0.056,24,0.82,10.3,7
0.37,0.097,145,1.03,9.3,5
0.5,0.075,49,0.79,9.5,5
0.42,0.088,39,0.55,9.2,5
0.43,0.089,37,0.56,9.2,6
0.3,0.095,28,0.77,10.8,7
0.3,0.095,28,0.77,10.8,7
0.57,0.069,120,0.53,9.3,5
0.44,0.1,95,0.67,9.4,5
0.3,0.054,19,0.88,10.5,7
0.53,0.039,19,0.86,12.4,6
0.725,0.083,62,0.56,10,6
0.44,0.059,15,0.67,10.2,6
0.57,0.06,65,0.43,10.1,5
0.735,0.092,41,0.71,9.8,6
0.49,0.06,121,0.76,10.5,5
0.625,0.101,49,0.57,11,5
0.725,0.072,41,0.55,9.1,5
0.49,0.076,44,0.54,9.7,5
0.53,0.08,144,0.6,9.5,5
0.34,0.082,58,0.59,9.4,6
0.53,0.101,72,0.57,9.4,5
0.61,0.057,10,0.6,9.5,5
0.645,0.083,28,0.6,10,6
0.635,0.089,55,0.57,10.4,4
0.43,0.073,63,0.58,10.5,6
0.59,0.337,81,1.61,9.5,6
0.82,0.089,23,0.63,9.8,5
0.43,0.073,63,0.58,10.5,6
0.52,0.081,37,0.5,11,5
0.48,0.054,106,0.62,12.2,7
0.38,0.078,49,0.52,9.9,6
0.37,0.09,58,0.7,9.6,6
0.52,0.081,37,0.5,11,5
1,0.065,37,0.55,9,6
0.63,0.097,38,0.58,9,6
0.63,0.097,38,0.58,9,6
0.645,0.097,39,0.58,9.2,6
0.63,0.097,38,0.58,9,6
1,0.065,37,0.55,9,6
0.635,0.263,62,1.09,9.3,5
0.38,0.093,24,0.71,10.9,6
0.58,0.102,109,0.49,9.8,6
0.21,0.075,24,0.84,9.2,7
0.21,0.075,24,0.84,9.2,7
0.66,0.084,23,0.96,9.9,6
0.68,0.075,51,0.52,9.5,5
0.6,0.072,73,0.45,9.3,5
0.53,0.074,39,0.48,9.8,6
0.66,0.084,23,0.96,9.9,6
0.32,0.063,37,0.78,10,6
0.6,0.074,34,0.7,9.9,6
0.35,0.09,21,0.53,10.5,5
0.775,0.092,86,0.59,9.5,5
0.6,0.074,34,0.7,9.9,6
0.57,0.073,119,0.57,9.3,5
0.34,0.075,13,0.62,9.2,5
0.695,0.075,56,0.67,9.2,5
0.41,0.611,45,1.26,9.4,5
0.31,0.085,33,0.8,10.5,7
0.33,0.077,45,0.65,9.3,5
0.975,0.087,67,0.6,9.4,4
0.52,0.07,35,0.57,10,5
0.37,0.077,49,0.67,9.3,5
0.56,0.064,27,0.87,10.9,5
0.26,0.071,10,0.72,10.2,7
0.87,0.096,61,0.72,9.8,4
0.35,0.078,37,0.86,12.8,8
0.54,0.077,27,0.91,9.4,6
0.18,0.104,23,0.97,10.1,6
0.545,0.087,61,0.67,10.7,6
0.18,0.104,23,0.97,10.1,6
0.37,0.071,65,0.78,10.1,5
0.715,0.076,38,0.64,9.4,5
0.65,0.088,94,0.77,9.4,5
0.545,0.087,61,0.67,10.7,6
0.54,0.077,27,0.91,9.4,6
0.18,0.104,23,0.97,10.1,6
0.32,0.073,13,0.82,12.6,8
0.4,0.087,47,0.77,10.5,7
0.26,0.071,19,0.82,9.3,6
0.27,0.358,10,1.08,9.9,7
0.52,0.067,53,0.57,9.1,5
0.4,0.087,47,0.77,10.5,7
0.59,0.102,71,0.71,9.8,5
0.59,0.102,71,0.71,9.8,5
0.45,0.073,49,0.76,10.3,6
0.4,0.092,53,0.7,10.3,6
0.52,0.091,49,0.86,10.6,7
0.42,0.105,98,0.95,9.2,5
0.52,0.091,49,0.86,10.6,7
0.2,0.343,18,0.71,10.5,5
0.55,0.091,48,0.64,10.3,6
0.36,0.098,16,0.6,10.1,6
0.34,0.094,53,0.81,9.5,6
0.5,0.073,27,0.64,9.5,5
0.83,0.086,70,0.52,9.9,5
0.63,0.083,29,0.73,9.6,5
0.65,0.094,31,0.8,9.7,5
0.67,0.08,33,0.71,9.6,5
0.53,0.086,44,0.59,10.7,6
0.18,0.068,15,0.64,10.1,6
0.705,0.092,28,0.72,10,5
0.67,0.186,21,0.54,9.5,5
0.65,0.112,90,0.52,9.2,5
0.53,0.063,25,0.59,9.3,6
0.62,0.082,54,0.52,9.4,5
0.41,0.213,14,0.62,9.5,6
0.43,0.214,12,0.63,9.5,6
0.29,0.062,30,0.53,9.5,6
0.53,0.063,25,0.59,9.3,6
0.53,0.072,105,0.54,9.4,6
0.46,0.093,98,0.63,9.5,6
0.47,0.076,135,0.53,9.4,5
0.36,0.087,72,0.68,11,5
0.35,0.096,53,0.65,11,6
0.56,0.102,92,0.65,10.1,5
0.77,0.082,74,0.64,10.4,6
0.66,0.083,59,0.71,11.5,7
0.77,0.082,74,0.64,10.4,6
0.66,0.083,59,0.71,11.5,7
0.61,0.09,87,0.62,9.7,5
0.62,0.079,18,0.63,9.3,5
0.59,0.09,73,0.7,9.5,6
0.49,0.071,50,0.69,9.2,6
0.49,0.071,50,0.69,9.2,6
0.53,0.121,14,0.74,11.5,7
0.44,0.107,13,0.83,11.5,5
0.27,0.082,21,0.67,9.7,6
0.46,0.061,15,0.62,9.5,5
0.36,0.122,41,0.66,12.5,6
0.36,0.122,41,0.66,12.5,6
0.58,0.066,114,0.54,9.4,6
0.56,0.105,44,0.52,11,5
0.65,0.078,38,0.74,11.7,7
0.695,0.128,21,0.84,12.2,7
0.43,0.052,16,0.7,12.5,6
0.43,0.08,58,0.64,10.3,5
0.49,0.103,99,1,11.5,6
0.28,0.082,29,1.36,9.8,7
0.34,0.066,21,1.18,9.2,6
0.42,0.065,18,0.87,11.3,6
0.39,0.118,14,0.75,9.8,6
0.39,0.118,14,0.75,9.8,6
0.57,0.082,32,0.78,10.7,6
0.685,0.067,63,0.81,9.9,5
0.815,0.072,34,0.89,12.3,7
0.49,0.093,15,0.93,12,6
0.56,0.089,46,0.92,10,6
0.785,0.093,28,0.86,9.4,6
0.67,0.107,34,0.98,9.9,6
0.795,0.096,26,0.83,9.4,6
0.665,0.09,19,0.73,9.3,5
0.53,0.12,77,0.77,13,5
0.21,0.066,165,0.59,11.9,6
0.75,0.078,32,0.61,12.8,6
0.41,0.08,55,0.88,11,5
0.42,0.116,29,0.75,11.7,7
0.43,0.109,23,0.85,10.4,7
0.38,0.088,41,0.68,9.8,6
0.7,0.099,81,0.7,9.4,5
0.45,0.086,50,0.91,9.9,6
0.58,0.072,37,0.56,10,5
0.46,0.071,15,0.87,10.2,5
0.615,0.083,42,0.73,10,7
0.42,0.107,21,0.93,11.8,6
0.615,0.083,42,0.73,10,7
0.575,0.076,24,0.69,9,5
0.34,0.159,75,0.64,9.4,5
0.27,0.074,18,1.13,12,7
0.765,0.063,63,0.78,9.9,5
0.24,0.056,25,0.87,8.7,6
0.28,0.067,46,1.04,10.6,6
0.55,0.106,72,0.63,9.2,5
0.41,0.089,47,0.81,10.8,6
0.54,0.124,15,0.83,11.8,7
0.45,0.078,47,1.11,11,6
0.27,0.074,18,1.13,12,7
0.625,0.088,24,0.99,13.3,6
0.42,0.094,60,0.7,10.8,6
0.26,0.08,27,0.8,9.4,6
0.415,0.085,43,0.8,10,6
0.26,0.08,27,0.8,9.4,6
0.26,0.08,27,0.8,9.4,6
0.51,0.087,54,0.74,9.2,5
0.63,0.09,37,0.76,9.7,6
0.54,0.088,48,0.74,9.2,6
0.66,0.079,42,0.54,9.6,6
0.46,0.088,53,0.74,9.2,6
0.38,0.096,49,0.7,10,7
0.85,0.045,88,0.82,12.9,8
0.415,0.085,43,0.8,10,6
0.37,0.082,26,0.51,9.5,5
0.665,0.112,95,0.54,9.1,5
0.6,0.063,25,0.57,9.9,5
0.37,0.066,38,0.6,13,7
0.735,0.122,124,0.53,9.9,5
0.59,0.087,49,0.65,11,6
0.59,0.087,49,0.65,11,6
0.765,0.064,42,0.55,9.4,5
0.735,0.122,124,0.53,9.9,5
0.26,0.059,38,0.47,10.8,6
0.48,0.085,64,0.61,10.5,6
0.6,0.085,41,0.63,10.5,6
0.69,0.075,27,0.61,9.1,5
0.31,0.059,25,0.76,10.1,6
0.44,0.063,28,0.65,10.8,6
0.39,0.093,30,0.63,10.8,7
0.34,0.174,16,0.7,11.3,6
0.46,0.07,49,0.57,9.6,4
0.43,0.08,86,0.62,9.5,6
0.45,0.08,78,0.62,9.5,5
0.735,0.1,77,0.64,9.3,5
0.4,0.097,19,0.82,11.7,7
0.52,0.087,122,0.61,9.5,5
0.725,0.117,134,1.07,9.3,5
0.48,0.111,20,0.66,11.7,6
0.58,0.091,124,0.48,10.5,5
0.38,0.121,20,0.76,10.4,6
0.77,0.066,52,0.68,9.9,5
0.56,0.089,67,0.73,11.8,7
0.84,0.059,48,0.56,12.3,7
0.96,0.047,60,0.44,10.9,5
0.24,0.066,24,0.9,11,7
0.96,0.047,60,0.44,10.9,5
0.84,0.059,48,0.56,12.3,7
0.67,0.045,48,0.49,11.4,6
0.78,0.077,32,0.56,10.6,6
0.52,0.07,30,0.6,9.3,5
0.84,0.088,35,0.6,10.4,6
0.24,0.066,24,0.9,11,7
0.55,0.074,66,0.56,9.2,5
0.37,0.078,24,0.65,12.8,6
0.39,0.091,18,0.49,9.5,5
0.41,0.076,54,0.89,9.9,6
0.39,0.091,18,0.49,9.5,5
0.67,0.06,62,0.56,10.2,6
0.45,0.066,22,0.66,11.2,6
0.41,0.076,54,0.89,9.9,6
0.62,0.062,50,0.6,9.3,5
0.31,0.072,29,0.82,9.8,8
0.4,0.068,27,0.68,11.3,6
0.685,0.1,43,0.68,11.2,7
0.44,0.077,19,0.63,11.6,7
0.57,0.054,27,0.84,12.5,7
0.735,0.079,31,0.56,10.1,6
0.38,0.081,72,0.73,10.5,5
0.48,0.127,16,0.72,11.2,5
0.53,0.1,27,0.56,10.2,6
0.39,0.095,35,0.61,10.8,6
0.39,0.095,35,0.61,10.8,6
0.37,0.413,26,1.06,9.1,6
0.56,0.084,35,0.63,10,6
0.33,0.084,22,0.74,11.2,7
0.23,0.063,67,0.63,11.1,5
0.62,0.086,19,0.69,13.4,8
0.59,0.095,22,0.58,10.3,5
0.63,0.097,65,0.58,9.6,5
0.33,0.084,22,0.74,11.2,7
0.58,0.074,47,0.57,9,3
0.43,0.083,23,0.61,11.3,6
0.615,0.087,19,0.61,9.3,5
0.26,0.085,25,0.61,11.8,5
0.66,0.098,129,0.53,9,5
0.315,0.084,15,0.7,9.2,6
0.29,0.098,26,0.91,9.7,5
0.5,0.069,51,0.72,11.5,6
0.46,0.065,18,0.79,14,6
0.36,0.09,21,0.62,9.2,6
0.82,0.07,48,0.58,9.8,5
0.32,0.093,47,0.61,10.6,5
0.54,0.081,52,0.71,11.4,6
0.37,0.083,68,0.82,10.4,6
0.35,0.062,14,0.79,10.6,5
0.28,0.08,24,0.89,9.4,6
0.68,0.087,28,0.6,10.2,5
0.27,0.091,16,0.7,9.7,5
0.24,0.075,20,1.06,11,6
0.68,0.087,28,0.6,10.2,5
0.685,0.077,31,0.7,10.1,6
0.28,0.069,23,0.66,9.2,5
0.3,0.08,17,0.92,11.7,8
0.36,0.152,18,1.05,9.4,5
0.36,0.152,18,1.06,9.4,5
0.44,0.114,24,0.66,13.4,6
0.67,0.054,17,0.47,10,5
0.67,0.054,17,0.47,10,5
0.645,0.053,14,0.42,10,6
0.32,0.081,67,0.92,10.8,7
0.39,0.073,26,0.75,10.2,6
0.775,0.078,56,0.67,10.6,6
0.41,0.055,25,0.79,13.3,7
0.4,0.052,27,0.9,13.4,7
0.69,0.086,81,0.74,11.6,6
0.39,0.051,91,0.55,12.1,6
0.35,0.07,16,0.65,11,8
0.52,0.081,38,0.65,9,6
0.34,0.09,113,0.79,11.1,5
0.35,0.07,16,0.65,11,8
0.69,0.086,81,0.74,11.6,6
0.52,0.081,38,0.65,9,6
0.44,0.074,76,0.85,12,7
0.44,0.074,76,0.85,12,7
0.26,0.078,24,1.04,10.9,7
0.24,0.077,22,1.05,10.8,7
0.49,0.072,26,0.78,12.5,7
0.24,0.075,21,1.02,10.8,7
0.67,0.084,13,0.71,9.5,6
0.59,0.09,62,0.63,10.2,6
0.29,0.084,43,0.68,11.4,7
0.42,0.073,43,0.61,9.5,5
0.59,0.09,62,0.63,10.2,6
0.4,0.125,49,0.81,9.7,6
0.51,0.107,15,0.66,11.8,7
0.51,0.107,15,0.66,11.8,7
0.655,0.122,151,1.14,9.3,5
0.6,0.1,14,0.74,11.9,6
0.61,0.2,16,0.63,8.4,3
0.21,0.088,32,0.68,11.7,6
0.365,0.088,106,0.78,11,5
0.25,0.088,33,0.9,10,6
0.41,0.088,43,0.64,9.1,5
0.39,0.099,133,0.99,9.8,5
0.4,0.085,142,0.55,9.4,5
0.43,0.086,116,0.64,9.5,5
0.64,0.105,53,0.67,9.9,5
0.365,0.088,106,0.78,11,5
0.38,0.097,85,0.77,11.4,6
0.42,0.084,55,0.75,8.7,6
0.63,0.077,33,0.57,9.4,5
0.22,0.078,28,0.87,10.3,6
0.38,0.098,42,0.61,10.3,5
0.38,0.098,42,0.61,10.3,5
0.27,0.072,33,0.66,12.8,6
0.48,0.102,32,0.56,10,6
0.22,0.078,28,0.87,10.3,6
0.63,0.077,33,0.57,9.4,5
0.825,0.084,13,0.77,10.7,6
0.35,0.066,35,0.66,12,7
0.5,0.1,17,0.62,11.2,5
0.59,0.101,47,0.67,9.6,5
0.46,0.064,17,0.73,11,6
0.715,0.07,20,0.59,9.9,5
0.66,0.085,53,0.72,11,6
0.31,0.075,15,0.79,8.4,6
0.47,0.094,106,0.59,9.1,5
0.55,0.078,28,0.78,9.5,6
0.31,0.067,21,0.86,10.7,6
0.35,0.079,69,0.75,10.4,6
0.53,0.171,25,0.61,9.4,6
0.51,0.074,25,0.56,9.5,6
0.43,0.092,45,0.73,10,6
0.46,0.092,44,0.74,10,6
1.04,0.05,96,0.62,11.5,5
0.645,0.095,23,0.74,11.1,5
0.645,0.095,23,0.74,11.1,5
0.53,0.118,17,0.56,11.7,6
0.645,0.095,23,0.74,11.1,5
0.53,0.118,17,0.56,11.7,6
0.47,0.085,47,0.68,12.7,6
0.6,0.075,19,0.57,11.4,5
0.44,0.078,121,0.58,9.2,5
0.54,0.094,110,0.61,9.2,5
0.29,0.092,60,0.61,10.1,6
0.47,0.085,47,0.68,12.7,6
0.6,0.075,19,0.57,11.4,5
0.7,0.226,15,0.6,9,6
0.7,0.226,15,0.6,9,6
0.5,0.25,20,0.79,10.7,6
0.36,0.095,42,0.57,11.7,6
0.35,0.07,37,0.91,11,6
0.36,0.095,42,0.57,11.7,6
0.24,0.075,28,0.61,10.4,5
0.59,0.07,47,0.56,9.6,4
0.34,0.078,78,0.7,10,6
0.27,0.079,46,0.8,10.2,6
0.5,0.103,14,0.52,10,4
0.44,0.083,111,0.6,9.5,5
0.47,0.085,110,0.6,9.8,5
0.31,0.063,40,0.51,9.8,6
0.5,0.089,14,0.44,9.6,5
0.5,0.089,14,0.44,9.6,5
0.49,0.083,15,0.43,9.2,5
0.28,0.074,21,0.66,9.9,7
0.33,0.093,80,0.76,10.7,7
0.51,0.091,38,0.66,9.6,6
0.31,0.094,47,1.02,10.6,7
0.73,0.108,102,0.59,9.3,5
0.42,0.06,50,0.74,14,8
0.29,0.059,13,0.74,10.5,7
0.45,0.084,75,0.57,9.7,5
0.39,0.07,149,0.5,11.5,6
0.45,0.084,75,0.57,9.7,5
0.49,0.094,43,0.58,9,5
0.72,0.096,38,0.53,9.5,5
0.595,0.086,109,0.57,9.3,5
0.4,0.059,24,0.6,9.3,6
0.58,0.071,18,0.63,10,6
0.585,0.078,30,0.48,9.8,6
0.59,0.082,22,0.7,9.3,6
0.915,0.088,23,0.47,10,4
0.46,0.071,35,0.56,9,6
0.835,0.081,14,0.52,9.3,5
0.46,0.071,35,0.56,9,6
0.58,0.096,63,0.62,9.1,6
0.6,0.085,24,0.59,9.2,6
0.41,0.072,20,0.79,12.2,7
0.48,0.092,52,0.53,10.5,6
0.65,0.11,65,0.64,10.4,6
0.36,0.075,39,0.52,12.7,6
0.24,0.083,57,0.54,9.2,5
0.38,0.081,16,0.54,9.4,5
0.64,0.077,29,0.6,10,6
0.39,0.058,29,0.74,9.8,5
0.755,0.148,103,1.36,10.2,6
0.6,0.079,71,0.57,9.7,5
0.6,0.079,71,0.57,9.7,5
0.31,0.079,28,0.93,9.8,6
0.46,0.122,17,0.7,10.2,5
0.37,0.088,16,0.8,9.3,5
0.54,0.076,112,0.61,9.4,5
0.56,0.078,104,0.62,9.4,5
0.58,0.08,32,0.55,9.5,5
0.51,0.077,45,0.96,12.1,6
0.69,0.124,58,0.72,10.2,5
0.69,0.124,58,0.72,10.2,5
0.6,0.098,15,0.49,9.1,5
0.6,0.098,15,0.49,9.1,5
0.54,0.097,31,0.6,9.3,6
0.685,0.111,84,0.61,9.3,5
0.54,0.097,31,0.6,9.3,6
0.28,0.105,19,0.63,9.5,5
0.41,0.087,43,0.57,10.5,6
0.935,0.105,86,0.64,11.3,4
0.35,0.073,102,0.58,9.5,5
0.84,0.065,33,0.55,9.7,5
0.88,0.086,147,0.53,9.4,5
0.885,0.084,145,0.53,9.4,5
0.915,0.143,23,0.65,10.2,7
0.29,0.067,57,1.36,10.3,6
0.54,0.071,40,0.62,9.4,5
0.59,0.071,68,0.63,9.5,5
0.54,0.071,40,0.62,9.4,5
0.59,0.071,68,0.63,9.5,5
0.54,0.071,40,0.62,9.4,5
0.64,0.115,11,0.69,10.1,7
0.67,0.107,20,0.63,10.1,5
0.845,0.07,14,0.58,11,4
0.48,0.066,28,0.67,11.2,7
0.42,0.068,148,0.57,11.3,6
0.43,0.106,32,0.5,9.6,5
0.88,0.104,155,0.67,11.2,5
0.36,0.096,71,0.84,14.9,5
0.33,0.079,30,0.54,12,6
0.47,0.074,29,0.46,9.5,5
0.55,0.087,53,0.61,9.4,5
0.43,0.106,32,0.5,9.6,5
0.5,0.073,42,0.68,10.5,7
0.52,0.074,20,0.81,9.6,6
0.84,0.096,13,0.57,11,4
0.52,0.074,20,0.81,9.6,6
0.42,0.08,42,0.64,9,5
0.57,0.076,27,0.7,9.6,6
0.28,0.05,13,0.79,10.2,6
0.4,0.092,54,0.66,10.2,5
0.59,0.084,48,0.56,9.7,5
0.49,0.222,16,0.6,9.5,6
0.34,0.082,15,0.66,9.2,6
0.73,0.059,31,0.57,11,5
0.34,0.082,15,0.66,9.2,6
0.4,0.083,45,0.58,10,5
0.73,0.074,13,0.52,9.5,5
1.24,0.079,151,0.53,9.5,5
0.73,0.074,13,0.52,9.5,5
0.4,0.084,17,0.67,9.3,6
0.41,0.064,31,0.65,10.2,5
0.4,0.084,17,0.67,9.3,6
0.8,0.084,31,0.48,9.9,5
0.78,0.081,87,0.53,10,5
0.26,0.06,49,0.54,9.6,5
0.43,0.07,40,0.49,9,5
0.45,0.094,29,0.49,10.2,6
0.46,0.078,58,0.54,9.8,5
0.78,0.059,15,0.56,11.3,5
0.98,0.078,152,0.48,9.4,5
0.78,0.059,15,0.56,11.3,5
0.65,0.07,40,0.6,9.1,5
0.64,0.095,38,0.59,9.7,5
0.66,0.039,9,0.47,9.4,5
0.38,0.157,17,1.05,9.4,5
1.185,0.097,14,0.54,10.7,3
0.92,0.087,93,0.54,9.8,5
0.49,0.422,62,1.17,9,5
0.48,0.084,122,0.62,9.4,5
0.47,0.084,125,0.61,9.4,5
0.47,0.034,44,0.62,12.8,6
0.65,0.066,25,0.67,9.5,6
0.65,0.066,25,0.67,9.5,6
0.615,0.087,72,0.53,9.7,5
0.38,0.071,19,0.62,10.8,6
1.02,0.076,88,0.57,10.1,6
0.65,0.066,25,0.67,9.5,6
0.64,0.067,23,0.67,9.4,6
0.38,0.073,84,0.7,9.6,4
0.765,0.078,14,0.54,9.7,4
